number,street,unit,nearest_parcel_land_use,distance_m,reason
5020,CHATTERTON RD,APT 7,403,39.2,nearest non-residential (403)
5026,CHATTERTON RD,APT 3,403,35.7,nearest non-residential (403)
5042,CHATTERTON RD,APT 11,403,42.6,nearest non-residential (403)
5024,CHATTERTON RD,APT 1,403,8.6,nearest non-residential (403)
5008,CHATTERTON RD,APT 5,403,52.9,nearest non-residential (403)
5026,CHATTERTON RD,APT 4,403,35.7,nearest non-residential (403)
5000,CHATTERTON RD,APT 6,403,23.6,nearest non-residential (403)
3232,NOE BIXBY RD,APT 1N,630,9.5,nearest non-residential (630)
5000,CHATTERTON RD,APT 5,403,23.6,nearest non-residential (403)
5008,CHATTERTON RD,APT 10,403,52.9,nearest non-residential (403)
5016,CHATTERTON RD,APT 8,403,19.1,nearest non-residential (403)
3345,S HAMILTON RD,APT R,640,36.0,nearest non-residential (640)
4595,MONMOUTH CT,,403,77.1,nearest parcel 77m away (> 60m)
4657,REFUGEE RD,2H,403,77.6,nearest parcel 78m away (> 60m)
2328,RANDY CT,,520,76.7,nearest parcel 77m away (> 60m)
5415,YORKSHIRE TERRACE DR,1C,403,16.6,nearest non-residential (403)
4411,WINCHESTER PIKE,,550,177.6,nearest parcel 178m away (> 60m)
2620,BIRCHTREE CT,,403,46.6,nearest non-residential (403)
2434,SHORE BLVD W,,403,63.9,nearest parcel 64m away (> 60m)
4630,HILTON CORPORATE DR,211,411,90.1,nearest parcel 90m away (> 60m)
5484,DUNFIELD LN,1,403,47.9,nearest non-residential (403)
2730,TENNYSON BLVD,A,481,171.9,nearest parcel 172m away (> 60m)
5792,HIBERNIA DR,B,403,52.2,nearest non-residential (403)
2564,SILVER OAK DR,,403,67.5,nearest parcel 68m away (> 60m)
5145,CEDAR DR,A,,35.4,nearest non-residential ()
2279,SEVILLE AVE,,403,52.1,nearest non-residential (403)
2355,HUDSON BAY WAY,,403,97.1,nearest parcel 97m away (> 60m)
1289,YORKLAND RD,UNIT K,403,16.2,nearest non-residential (403)
2171,SOFT WIND CT,,403,102.9,nearest parcel 103m away (> 60m)
5649,CHANTRY DR,,510,85.3,nearest parcel 85m away (> 60m)
6339,MCNAUGHTEN CT,,425,46.0,nearest non-residential (425)
3142,S HAMILTON RD,,425,5.6,nearest non-residential (425)
2205,COURTSIDE DR,C,400,26.7,nearest non-residential (400)
150,CHANTRY DR,,447,15.6,nearest non-residential (447)
5621,CHANTRY DR,,447,23.8,nearest non-residential (447)
4255,MACSWAY AVE,,422,43.6,nearest non-residential (422)
5079,CEDAR DR,L,,13.1,nearest non-residential ()
4537,LAKE SIDE S,,122,111.1,nearest parcel 111m away (> 60m)
2089,LAKE CLUB TER,I,400,70.2,nearest parcel 70m away (> 60m)
3201,WEBSTER DR,,403,70.3,nearest parcel 70m away (> 60m)
2466,NOE-BIXBY RD,,500,24.7,nearest=vacant land
2169,S JAMES RD,,371,37.2,nearest non-residential (371)
1946,FOUNTAINVIEW CT,A,403,103.9,nearest parcel 104m away (> 60m)
5555,HIBERNIA DR,,640,88.7,nearest parcel 89m away (> 60m)
5567,HIBERNIA DR,B,510,89.1,nearest parcel 89m away (> 60m)
5864,CHATFORD DR,D,403,17.8,nearest non-residential (403)
4659,REFUGEE RD,3C,403,89.5,nearest parcel 90m away (> 60m)
4550,LAKE SIDE N,K,350,148.0,nearest parcel 148m away (> 60m)
2740,CITIZENS PL,C,403,167.4,nearest parcel 167m away (> 60m)
