number,street,unit,city,state,zip,census_status
5984,HIGHLAND GREEN BLVD,UNIT 202,Columbus,OH,43232,No_Match
5983,HIGHLAND GREEN BLVD,UNIT 205,Columbus,OH,43232,No_Match
5955,HIGHLAND GREEN BLVD,UNIT 207,Columbus,OH,43232,No_Match
5983,HIGHLAND GREEN BLVD,UNIT 202,Columbus,OH,43232,No_Match
5956,HUNTLEYWOOD BLVD,UNIT 303,Columbus,OH,43232,No_Match
5984,HIGHLAND GREEN BLVD,UNIT 307,Columbus,OH,43232,No_Match
5984,HIGHLAND GREEN BLVD,UNIT 302,Columbus,OH,43232,No_Match
5936,HUNTLEYWOOD BLVD,UNIT 305,Columbus,OH,43232,No_Match
5956,HUNTLEYWOOD BLVD,UNIT 302,Columbus,OH,43232,No_Match
5955,HIGHLAND GREEN BLVD,UNIT 204,Columbus,OH,43232,No_Match
5955,HIGHLAND GREEN BLVD,UNIT 202,Columbus,OH,43232,No_Match
5931,HIGHLAND GREEN BLVD,UNIT 208,Columbus,OH,43232,No_Match
5956,HUNTLEYWOOD BLVD,UNIT 203,Columbus,OH,43232,No_Match
5936,HUNTLEYWOOD BLVD,,Columbus,OH,43232,No_Match
5936,HUNTLEYWOOD BLVD,UNIT 304,Columbus,OH,43232,No_Match
5955,HIGHLAND GREEN BLVD,UNIT 206,Columbus,OH,43232,No_Match
5936,HUNTLEYWOOD BLVD,UNIT 106,Columbus,OH,43232,No_Match
5984,HIGHLAND GREEN BLVD,UNIT 206,Columbus,OH,43232,No_Match
5955,HIGHLAND GREEN BLVD,UNIT 102,Columbus,OH,43232,No_Match
5931,HIGHLAND GREEN BLVD,UNIT 101,Columbus,OH,43232,No_Match
5956,HUNTLEYWOOD BLVD,UNIT 304,Columbus,OH,43232,No_Match
5984,HIGHLAND GREEN BLVD,UNIT 108,Columbus,OH,43232,No_Match
5955,HIGHLAND GREEN BLVD,UNIT 203,Columbus,OH,43232,No_Match
5936,HUNTLEYWOOD BLVD,UNIT 108,Columbus,OH,43232,No_Match
1589,MacBRINN AVE,UNIT 101,Columbus,OH,43232,No_Match
5983,HIGHLAND GREEN BLVD,UNIT 203,Columbus,OH,43232,No_Match
5956,HUNTLEYWOOD BLVD,UNIT 106,Columbus,OH,43232,No_Match
1589,MacBRINN AVE,UNIT 105,Columbus,OH,43232,No_Match
5955,HIGHLAND GREEN BLVD,UNIT 307,Columbus,OH,43232,No_Match
5955,HIGHLAND GREEN BLVD,UNIT 208,Columbus,OH,43232,No_Match
5983,HIGHLAND GREEN BLVD,UNIT 108,Columbus,OH,43232,No_Match
5931,HIGHLAND GREEN BLVD,UNIT 206,Columbus,OH,43232,No_Match
5936,HUNTLEYWOOD BLVD,UNIT 107,Columbus,OH,43232,No_Match
5936,HUNTLEYWOOD BLVD,UNIT 307,Columbus,OH,43232,No_Match
5955,HIGHLAND GREEN BLVD,UNIT 107,Columbus,OH,43232,No_Match
5936,HUNTLEYWOOD BLVD,UNIT 101,Columbus,OH,43232,No_Match
5984,HIGHLAND GREEN BLVD,,Columbus,OH,43232,No_Match
5984,HIGHLAND GREEN BLVD,UNIT 201,Columbus,OH,43232,No_Match
5955,HIGHLAND GREEN BLVD,,Columbus,OH,43232,No_Match
5931,HIGHLAND GREEN BLVD,UNIT 308,Columbus,OH,43232,No_Match
5956,HUNTLEYWOOD BLVD,UNIT 201,Columbus,OH,43232,No_Match
5931,HIGHLAND GREEN BLVD,UNIT 106,Columbus,OH,43232,No_Match
5931,HIGHLAND GREEN BLVD,UNIT 304,Columbus,OH,43232,No_Match
1589,MacBRINN AVE,UNIT 204,Columbus,OH,43232,No_Match
5931,HIGHLAND GREEN BLVD,UNIT 104,Columbus,OH,43232,No_Match
5936,HUNTLEYWOOD BLVD,UNIT 105,Columbus,OH,43232,No_Match
5956,HUNTLEYWOOD BLVD,UNIT 301,Columbus,OH,43232,No_Match
5956,HUNTLEYWOOD BLVD,UNIT 207,Columbus,OH,43232,No_Match
