number,street,unit,city,region,postcode,district,latitude,longitude
963,ANTWERP RD,,WHITEHALL,OH,43213,FRA,39.9581266,-82.8624892
966,ANTWERP RD,,WHITEHALL,OH,43213,FRA,39.9580535,-82.862042
971,ANTWERP RD,,WHITEHALL,OH,43213,FRA,39.9579225,-82.8625082
974,ANTWERP RD,,WHITEHALL,OH,43213,FRA,39.9578649,-82.8620611
979,ANTWERP RD,,WHITEHALL,OH,43213,FRA,39.9577495,-82.8624939
982,ANTWERP RD,,WHITEHALL,OH,43213,FRA,39.95771,-82.8620567
990,ANTWERP RD,,WHITEHALL,OH,43213,FRA,39.957529,-82.8620897
991,ANTWERP RD,,WHITEHALL,OH,43213,FRA,39.9575659,-82.8625398
998,ANTWERP RD,,WHITEHALL,OH,43213,FRA,39.9573402,-82.8621756
1004,ANTWERP RD,,WHITEHALL,OH,43213,FRA,39.9572029,-82.8623158
1005,ANTWERP RD,,WHITEHALL,OH,43213,FRA,39.957382,-82.8627435
1010,ANTWERP RD,,WHITEHALL,OH,43213,FRA,39.9570598,-82.8625322
1017,ANTWERP RD,,WHITEHALL,OH,43213,FRA,39.9573063,-82.8629883
1018,ANTWERP RD,,WHITEHALL,OH,43213,FRA,39.9569716,-82.8628149
6110,APPLEGATE LN,,COLUMBUS,OH,43213,FRA,39.9590365,-82.8350565
6115,APPLEGATE LN,,COLUMBUS,OH,43213,FRA,39.9586069,-82.8345729
6126,APPLEGATE LN,,COLUMBUS,OH,43213,FRA,39.9593315,-82.8345906
6129,APPLEGATE LN,,COLUMBUS,OH,43213,FRA,39.9588411,-82.8342458
6142,APPLEGATE LN,,COLUMBUS,OH,43213,FRA,39.959429,-82.8340988
6147,APPLEGATE LN,,COLUMBUS,OH,43213,FRA,39.9588973,-82.8338109
6154,APPLEGATE LN,,COLUMBUS,OH,43213,FRA,39.9594821,-82.8337673
6161,APPLEGATE LN,,COLUMBUS,OH,43213,FRA,39.9589561,-82.8334152
6168,APPLEGATE LN,,COLUMBUS,OH,43213,FRA,39.9595353,-82.8334037
6175,APPLEGATE LN,,COLUMBUS,OH,43213,FRA,39.9589789,-82.8330871
6182,APPLEGATE LN,,COLUMBUS,OH,43213,FRA,39.9595885,-82.8330508
6189,APPLEGATE LN,,COLUMBUS,OH,43213,FRA,39.9590101,-82.8327412
6196,APPLEGATE LN,,COLUMBUS,OH,43213,FRA,39.9596499,-82.8327015
6201,APPLEGATE LN,,COLUMBUS,OH,43213,FRA,39.9590799,-82.8323527
6213,APPLEGATE LN,,COLUMBUS,OH,43213,FRA,39.9592455,-82.8320111
4692,ARBOR LEE CT,,WHITEHALL,OH,43213,FRA,39.9578245,-82.8706133
4693,ARBOR LEE CT,,WHITEHALL,OH,43213,FRA,39.9573671,-82.8706443
4698,ARBOR LEE CT,,WHITEHALL,OH,43213,FRA,39.9576183,-82.8704178
7189,ARGENTO AVE,,COLUMBUS,OH,43213,FRA,39.9840994,-82.8102337
7189,ARGENTO AVE,CN 304,COLUMBUS,OH,43213,FRA,39.9840472,-82.810279
7189,ARGENTO AVE,CN 302,COLUMBUS,OH,43213,FRA,39.9841222,-82.8104982
7189,ARGENTO AVE,CN 306,COLUMBUS,OH,43213,FRA,39.9841122,-82.8101978
7189,ARGENTO AVE,CN 207,COLUMBUS,OH,43213,FRA,39.984097,-82.809986
7189,ARGENTO AVE,CN 108,COLUMBUS,OH,43213,FRA,39.9840394,-82.8100177
7189,ARGENTO AVE,CN 201,COLUMBUS,OH,43213,FRA,39.9840651,-82.8104772
7189,ARGENTO AVE,CN 107,COLUMBUS,OH,43213,FRA,39.9841029,-82.8100122
7189,ARGENTO AVE,CN 308,COLUMBUS,OH,43213,FRA,39.9840318,-82.809964
7189,ARGENTO AVE,CN 303,COLUMBUS,OH,43213,FRA,39.9841112,-82.8102757
7189,ARGENTO AVE,CN 204,COLUMBUS,OH,43213,FRA,39.984049,-82.8103054
7189,ARGENTO AVE,CN 104,COLUMBUS,OH,43213,FRA,39.9840548,-82.8103327
7189,ARGENTO AVE,CN 105,COLUMBUS,OH,43213,FRA,39.9840484,-82.8101473
7189,ARGENTO AVE,CN 206,COLUMBUS,OH,43213,FRA,39.984113,-82.8101713
7189,ARGENTO AVE,CN 202,COLUMBUS,OH,43213,FRA,39.984123,-82.8104723
7189,ARGENTO AVE,CN 305,COLUMBUS,OH,43213,FRA,39.9840445,-82.8102021
7189,ARGENTO AVE,CN 208,COLUMBUS,OH,43213,FRA,39.9840336,-82.8099904
7189,ARGENTO AVE,CN 203,COLUMBUS,OH,43213,FRA,39.9841125,-82.8103013
