number,street,unit,city,region,postcode,district,latitude,longitude
6663,HUNTLEY RD,UNIT A,Worthington,OH,43229,FRA,40.1028986,-82.9989496
1281,HOME ACRE DR,,Sharon Twp,OH,43229,FRA,40.0981483,-82.9555986
549,SCHROCK RD,,Worthington,OH,43229,FRA,40.1008769,-82.9993277
6600,HUNTLEY RD,,Worthington,OH,43229,FRA,40.1010286,-82.9974809
6670,HUNTLEY RD,,Worthington,OH,43229,FRA,40.1024037,-82.9976896
1425,COMMUNITY PARK DR,,Sharon Twp,OH,43229,FRA,40.1003563,-82.9515506
7060,HUNTLEY RD,,Worthington,OH,43229,FRA,40.1068611,-82.9974628
502,SCHROCK RD,,Worthington,OH,43229,FRA,40.101703,-83.0003611
6334,HUNTLEY RD,,Worthington,OH,43229,FRA,40.09465,-82.9977671
543,SCHROCK RD,,Worthington,OH,43229,FRA,40.1010204,-82.9993524
6575,HUNTLEY RD,UNIT E,Worthington,OH,43229,FRA,40.0997146,-82.9993713
6121,HUNTLEY RD,,Worthington,OH,43229,FRA,40.0898452,-82.9987172
6155,HUNTLEY RD,UNIT B,Worthington,OH,43229,FRA,40.0904399,-82.9998737
6770,MAPLE CANYON AVE,,Sharon Twp,OH,43229,FRA,40.0995001,-82.9579077
6580,HUNTLEY RD,,Worthington,OH,43229,FRA,40.0988611,-82.9975475
6185,HUNTLEY RD,UNIT B,Worthington,OH,43229,FRA,40.0914512,-83.0014626
1566,SCHROCK RD,,Sharon Twp,OH,43229,FRA,40.1093998,-82.9577667
1376,HOME ACRE DR,,Sharon Twp,OH,43229,FRA,40.0985821,-82.9528943
561,SCHROCK RD,,Worthington,OH,43229,FRA,40.101495,-82.9990517
6155,HUNTLEY RD,UNIT N,Worthington,OH,43229,FRA,40.0911114,-82.9997917
6750,MAPLE CANYON AVE,,Sharon Twp,OH,43229,FRA,40.0990616,-82.9582752
6200,HUNTLEY RD,,Worthington,OH,43229,FRA,40.0919708,-82.9976303
6665,HUNTLEY RD,UNIT E,Worthington,OH,43229,FRA,40.1030974,-82.9992617
6155,HUNTLEY RD,UNIT I,Worthington,OH,43229,FRA,40.090771,-82.9988791
495,SCHROCK RD,,Worthington,OH,43229,FRA,40.1007524,-83.0011448
539,SCHROCK RD,,Worthington,OH,43229,FRA,40.101224,-82.9993903
505,SCHROCK RD,,Worthington,OH,43229,FRA,40.1010348,-83.0012481
6200,HUNTLEY RD,,Worthington,OH,43229,FRA,40.0924632,-82.9970812
1850,SCHROCK RD,,Sharon Twp,OH,43229,FRA,40.1081706,-82.9658747
480,SCHROCK RD,,Worthington,OH,43229,FRA,40.1031186,-83.001374
7030,HUNTLEY RD,UNIT C,Worthington,OH,43229,FRA,40.1063529,-82.9969743
6665,HUNTLEY RD,UNIT O,Worthington,OH,43229,FRA,40.1030458,-83.0001368
6575,HUNTLEY RD,UNIT F,Worthington,OH,43229,FRA,40.0997538,-83.0002532
7029,HUNTLEY RD,APT N,Worthington,OH,43229,FRA,40.1061576,-83.0005738
470,SCHROCK RD,,Worthington,OH,43229,FRA,40.1027195,-83.002347
6185,HUNTLEY RD,UNIT Q,Worthington,OH,43229,FRA,40.0916112,-82.9988229
6500,HUNTLEY RD,UNIT C,Worthington,OH,43229,FRA,40.0967679,-82.9976473
6171,HUNTLEY RD,UNIT G,Worthington,OH,43229,FRA,40.0905007,-83.0014396
7029,HUNTLEY RD,APT B,Worthington,OH,43229,FRA,40.1062798,-82.9987774
6665,HUNTLEY RD,UNIT H,Worthington,OH,43229,FRA,40.1030831,-82.999494
6663,HUNTLEY RD,UNIT U,Worthington,OH,43229,FRA,40.1031523,-83.0005726
6665,HUNTLEY RD,UNIT K,Worthington,OH,43229,FRA,40.1030658,-82.9997856
7029,HUNTLEY RD,APT H,Worthington,OH,43229,FRA,40.1061084,-82.9997603
6185,HUNTLEY RD,UNIT J,Worthington,OH,43229,FRA,40.0913901,-82.9998953
