number,street,unit,city,region,postcode,latitude,longitude
6536,RED FOX RD,,REYNOLDSBURG,OH,43068,39.9641873,-82.8245424
289,CASTLE CT,,REYNOLDSBURG,OH,43068,39.9567189,-82.7912793
1318,AIDA DR,,REYNOLDSBURG,OH,43068,39.9560053,-82.808003
6738,ROCKY DEN RD,,REYNOLDSBURG,OH,43068,39.9657788,-82.8194079
150,CAMBRIDGE CT,,REYNOLDSBURG,OH,43068,39.9581289,-82.7912549
8098,GOLDSMITH DR,,REYNOLDSBURG,OH,43068,39.9579209,-82.7820907
532,HUNT VALLEY DR,,REYNOLDSBURG,OH,43068,39.9709868,-82.8227117
6565,FUSILIER AVE,,REYNOLDSBURG,OH,43068,39.9705336,-82.8250287
112,HAMPTON LN,,REYNOLDSBURG,OH,43068,39.9603239,-82.7887928
6620,FORRESTER WAY,,REYNOLDSBURG,OH,43068,39.9772132,-82.8240849
7049,ROUNDELAY RD N,,REYNOLDSBURG,OH,43068,39.963823,-82.8109533
1197,HILTON DR,,REYNOLDSBURG,OH,43068,39.9617449,-82.7813713
346,CHEYENNE WAY,,REYNOLDSBURG,OH,43068,39.9762651,-82.8118252
8068,GOLDSMITH DR,,REYNOLDSBURG,OH,43068,39.957852,-82.7828386
6346,RUGOSA AVE,,REYNOLDSBURG,OH,43068,39.9737517,-82.8313953
1154,JONSON CT,,REYNOLDSBURG,OH,43068,39.962432,-82.7834785
6696,ROSEDALE AVE,,REYNOLDSBURG,OH,43068,39.9690671,-82.8210781
1197,CARROUSEL DR E,,REYNOLDSBURG,OH,43068,39.9582245,-82.810518
6590,SCHENK AVE,,REYNOLDSBURG,OH,43068,39.9725364,-82.8245515
6457,FIRETHORN AVE,,REYNOLDSBURG,OH,43068,39.9749489,-82.8286661
1197,ROUNDELAY RD E,,REYNOLDSBURG,OH,43068,39.9584006,-82.8084243
1170,HILTON DR,,REYNOLDSBURG,OH,43068,39.962318,-82.7808648
7088,BRIARCLIFF RD,,REYNOLDSBURG,OH,43068,39.9623363,-82.8096712
1204,ROUNDELAY RD E,,REYNOLDSBURG,OH,43068,39.9583915,-82.8079414
1079,HILTON DR,,REYNOLDSBURG,OH,43068,39.9641624,-82.7812701
1409,HAFT DR,,REYNOLDSBURG,OH,43068,39.954266,-82.8069136
